Uid,0,1,2,3,4,5,6,7,8,9
0,0,0,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,1,1,1,1
2,0,0,0,1,1,1,1,1,1,1
3,1,0,0,0,0,1,1,1,1,1
4,0,0,0,0,1,1,1,1,1,1
5,1,0,0,0,1,0,1,1,1,1
6,0,0,0,0,1,0,1,1,1,1
7,0,0,0,0,0,1,1,1,1,1
8,1,0,0,0,1,0,0,1,1,1
9,0,0,0,0,0,0,1,1,1,1
10,0,1,1,1,1,1,1,1,1,0
11,0,0,1,1,1,1,1,1,1,0
12,0,0,0,1,1,1,1,1,1,0
13,0,0,0,0,1,1,1,1,1,0
14,1,0,0,0,1,0,1,1,1,0
15,0,0,0,0,0,1,1,1,1,0
16,1,0,0,1,1,0,0,1,1,0
17,1,0,0,0,1,0,0,1,1,0
19,0,1,1,1,1,1,1,1,0,0
20,0,0,1,1,1,1,1,1,0,0
21,1,0,0,0,1,0,1,1,0,0
22,1,1,1,1,1,1,0,1,0,0
23,0,1,1,1,1,1,0,1,0,0
24,1,1,1,1,1,0,0,1,0,0
25,1,0,1,1,1,0,0,1,0,0
26,0,1,1,1,1,0,0,1,0,0
27,1,0,0,1,1,0,0,1,0,0
28,1,0,0,0,1,0,0,1,0,0
30,0,1,1,1,1,1,1,0,0,0
31,1,0,0,1,1,1,1,0,0,0
32,0,0,1,1,1,1,1,0,0,0
33,0,0,0,1,1,1,1,0,0,0
34,1,1,1,1,1,1,0,0,0,0
36,0,1,1,1,1,1,0,0,0,0
37,0,0,1,1,1,1,0,0,0,0
38,0,1,1,1,1,0,0,0,0,0
39,1,0,1,1,0,0,0,0,0,0
40,1,0,0,1,0,0,0,0,0,0
42,0,0,0,1,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,1
