Uid,0,1,2,3,4,5,6,7,8
1,1,1,1,1,0,1,1,1,1
2,0,1,1,1,0,1,1,1,1
3,1,1,0,1,0,1,1,1,1
4,1,0,0,1,0,1,1,1,1
5,0,1,0,1,0,1,1,1,1
6,0,0,1,1,0,1,1,1,1
7,1,1,1,0,0,1,1,1,1
8,1,1,0,0,0,1,1,1,1
9,1,0,0,0,0,1,1,1,1
10,0,0,0,1,0,1,1,1,1
11,1,1,1,0,0,0,1,1,1
12,1,1,0,0,0,0,1,1,1
13,1,0,0,0,0,0,1,1,1
14,0,1,1,1,1,1,0,1,1
15,1,1,1,1,0,1,0,1,1
16,0,1,1,1,0,1,0,1,1
17,0,1,0,1,0,1,0,1,1
18,1,1,1,0,0,1,0,1,1
19,0,1,1,0,0,1,0,1,1
20,0,0,0,1,0,1,0,1,1
21,0,1,0,1,0,1,1,0,1
22,0,1,1,1,1,1,0,0,1
23,0,1,0,1,1,1,0,0,1
24,0,0,1,1,1,1,0,0,1
25,0,1,1,1,0,1,0,0,1
26,0,1,0,1,0,1,0,0,1
27,0,1,1,1,1,1,0,1,0
28,0,1,1,1,0,1,0,1,0
29,1,1,1,0,0,1,0,1,0
30,0,1,1,0,0,1,0,1,0
31,0,1,1,1,1,0,0,1,0
32,0,1,1,1,1,1,0,0,0
33,0,0,1,1,1,1,0,0,0
34,0,1,1,1,1,0,0,0,0
35,0,0,1,1,1,0,0,0,0
